input,blk_cnt,test_cnt,rate
https://www.tumblr.com/,1,169,0.01
https://www.gmail.com,1,178,0.01
https://www.piratenpartei.ch/,1,177,0.01
http://adultfriendfinder.com,1,191,0.01
https://login.infomaniak.com/loginWebmail,1,186,0.01
https://nmap.org/,1,184,0.01
http://www.algomhuria.net.eg,2,209,0.01
http://www.hitler.org,3,215,0.01
https://www.un.int/,1,165,0.01
http://www.realbeer.com,2,213,0.01
https://tinyurl.com,1,185,0.01
http://www.tango.me,1,172,0.01
http://www.tialsoft.com/download/,1,191,0.01
https://mail.yandex.ru,1,185,0.01
http://www.radicalparty.org,3,214,0.01
http://www.hustler.com,1,179,0.01
https://mail.yahoo.com,2,188,0.01
http://blogspot.com,2,191,0.01
http://www.matrimony.org,2,178,0.01
http://www.blubster.com,2,225,0.01
https://www.planetromeo.com/,2,175,0.01
https://mixi.jp/,1,191,0.01
https://strongvpn.com/,1,186,0.01
https://www.mideastyouth.com/,1,173,0.01
http://bitcoin.org,2,188,0.01
http://www.wetplace.com,1,168,0.01
http://www.tialsoft.com/multitranse/,1,192,0.01
https://www.habbo.com/,1,178,0.01
https://www.google.com/transparencyreport/,1,177,0.01
http://creativecommons.org,1,184,0.01
http://www.grindr.com/,1,175,0.01
https://www.erowid.org/,1,177,0.01
http://www.worldrtd.net,1,191,0.01
https://noblogs.org,2,188,0.01
https://imp.free.fr/,1,185,0.01
http://www.cnn.com,1,186,0.01
http://www.greennet.org.uk/,2,218,0.01
https://twitter.com,1,184,0.01
https://www.walmart.com/,1,172,0.01
http://www.auduboninternational.org,2,180,0.01
https://www.defense.gov/,1,180,0.01
https://www.icc-cpi.int/,1,178,0.01
https://www.idrc.ca/,1,172,0.01
https://cryptome.org,1,186,0.01
https://metasploit.com/,1,190,0.01
https://www.hightail.com/,1,176,0.01
https://sourceforge.net/,1,183,0.01
http://www.marijuana.com,1,180,0.01
https://www.whatsapp.com/,2,173,0.01
https://www.state.gov/,1,169,0.01
https://rarbg.to/index8.php,1,185,0.01
http://now.org/,1,186,0.01
