domain,category_code,category_description,explorer_url
www.thepiratebay.org,FILE,File-sharing,https://explorer.ooni.org/measurement/20220703T173755Z_webconnectivity_RU_12688_n1_0bIDzYot6dkDrFCG?input=https%3A%2F%2Fthepiratebay.org%2F
libgen.lc,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=http%3A%2F%2Flibgen.lc%2F
libgen.me,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Flibgen.me%2F
libgen.rs,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=http%3A%2F%2Flibgen.rs%2F
liveuamap.com,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fliveuamap.com%2F
maidan.org.ua,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fmaidan.org.ua%2F
www.deti-404.com,LGBT,LGBT,https://explorer.ooni.org/measurement/20220817T210911Z_webconnectivity_RU_8402_n1_kInVW3L1ZSnLjcSd?input=http%3A%2F%2Fwww.deti-404.com%2F
meduza.io,NEWS,News Media,https://explorer.ooni.org/measurement/20220817T210658Z_webconnectivity_RU_42511_n1_mxtKYFccWAtJZn7b?input=https%3A%2F%2Fmeduza.io%2F
www.blackseango.org,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220807T175103Z_webconnectivity_RU_21127_n1_mXX5t4fo8oDFF4cC?input=https%3A%2F%2Fblackseango.org%2F
www.lesbi.ru,LGBT,LGBT,https://explorer.ooni.org/measurement/20220117T071622Z_webconnectivity_RU_3216_n1_WHtJuOAUlHDUnHmu?input=http%3A%2F%2Fwww.lesbi.ru%2F
www.ikhwanonline.com,FILE,File-sharing,https://explorer.ooni.org/measurement/20220603T114043Z_webconnectivity_RU_25513_n1_7ZGljmwg1wWYkv5U?input=http%3A%2F%2Fikhwanonline.com%2F
kasparov.ru,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221023T044623Z_webconnectivity_RU_8402_n1_En87MYlbCGE9j5zP?input=http%3A%2F%2Fkasparov.ru
khodorkovsky.ru,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220603T153741Z_webconnectivity_RU_12688_n1_tTriN90EekL1yMtl?input=https%3A%2F%2Fkhodorkovsky.ru%2F
www.sportsinteraction.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220316T005155Z_webconnectivity_RU_12714_n1_DpICVdwoK5r4tAcQ?input=http%3A%2F%2Fwww.sportsinteraction.com%2F
